University_Name,College_Dep,Degree_Category,DS_or_BA,Year_Est,Full_Address,Long,Lat,State,Deg_Desc,URL
North Carolina State University, Institute for Advanced Analytics, M.S. in Analytics,A,2007,"901 Main Campus Drive, Raleigh, NC 27606",-78.67715679,35.77297643,NC,"Our mission: to produce the world’s finest analytics and data science professionals. If you have a mind for mathematics and statistical programming and a passion for working with data, the Master of Science in Analytics (MSA) is your program. The MSA is uniquely designed to equip individuals like yourself for the task of deriving and effectively communicating actionable insights from a vast quantity and variety of data.",https://analytics.ncsu.edu/?page_id=1799
Depaul University, College of Computing and Digital Media, M.S. in Data Science (Formerly the M.S. in Predictive Analytics; renamed in 2018.),DS,2010,"14 E. Jackson Blvd, Chicago, IL 60604",-87.62707347,41.87825166,IL,"The data science master’s will provide you with the technical knowledge and advanced computational skills to meet emerging challenges in big data analytics. With on-campus and online classroom learning formats, you can launch a career in data science with extraordinary faculty members—anytime, anywhere. Our online learning program replicates the classroom experience with 100 percent access to software, faculty advisors, career services, and a large network of alumni. Discover how you can manage and analyze complex data, develop data science models to support decision making, and effectively communicate analytical results to a non-technical audience.",https://www.cdm.depaul.edu/academics/Pages/MS-in-Data-Science.aspx
University of Tennessee at Knoxville, College of Business Administration, M.S. in Business Analytics,BA,2010,"527 Andy Holt Tower, Knoxville, TN 37996-0184",-83.93223,35.95387,TN,"The Master of Science in Business Analytics program develops a student’s technical acumen in deriving insights from large data sets as well as business fundamentals and soft skills like leadership, teamwork and presentations. Our students graduate with both the ability to identify the data relevant to the problem at hand and an understanding of how it can be leveraged to benefit the organization.  
In their final semester, MSBA students work in teams using real data to solve a real problem for one of our industry partners in their capstone project. They communicate with company executives throughout the project, presenting their findings at the end of the semester.",https://haslam.utk.edu/business-analytics-statistics/msba
Carnegie Mellon University, Heinz College, M.I.S.M. in Business Intelligence & Data Analytics (Addition of new BIDA track in the existing Master of Information Systems Management.),DA,2011,"5000 Forbes Ave, Pittsburgh, PA 15213-3890",-79.9433955,40.4446265,PA,"Within the MISM program, the Business Intelligence & Data Analytics (BIDA) pathway goes deeper into the emerging field of analytics, forging experts that change the way companies do business around the world.
The comprehensive curriculum includes advanced analytics coursework in machine learning, structured and unstructured data analytics and predictive modeling. When combined with core technology coursework and experiential learning, BIDA you will arm you with the expertise to become an influencer at any organization.",https://www.heinz.cmu.edu/programs/information-systems-management-master/bida
Louisiana State University at Baton Rouge, Ourso College of Business," M.S. in Analytics (Formerly the M.S. in Information Systems and Decision Sciences,  Concentration in Business Analytics and Business Intelligence; renamed in 2012.)",A,2011,"University Administration, Baton Rouge, LA 70808",-91.158645,30.429445,LA,"The Master of Science in Analytics (MSA) at LSU is an exciting degree offered by the Stephenson Department of Entrepreneurship & Information Systems (SDEIS). It is designed to prepare students to use data-driven methods to contribute to organizational effectiveness and guide decisions.
The STEM-designated program curriculum emphasizes the use of business analytics, business intelligence, and information technology to solve problems, reduce costs, increase revenues, streamline processes, and improve decision-making. Students learn specialized skills and knowledge drawn from the fields of computer science, statistics, operations research, and quality management to achieve results through a mixture of classroom instruction, hands-on exercises, and team-based projects.",https://www.lsu.edu/business/sdeis/academics/ms/index.php
Northwestern University, School of Continuing Studies, M.S. in Data Science (Formerly the M.S. in Predictive Analytics; renamed in 2018.),DS,2011,"633 Clark St, Evanston, IL 60208",-87.6798802,42.04997209,IL,"MSDS students gain critical skills for succeeding in today's data-intensive world. They learn how to utilize relational and document database systems and analytics software built upon open-source systems such as R, Python, and TensorFlow. They learn how to make trustworthy predictions using traditional statistics and machine learning methods.",https://sps.northwestern.edu/masters/data-science/index.php
University of Cincinnati, Lindner College of Business, M.S. in Business Analytics (Formerly M.S. in Quantitative Analysis; renamed in 2011.),BA,2011,"P.O. Box 210063, Cincinnati, OH 45221-0063",-84.504132,39.107133,OH,"In the Master’s in Business Analytics program, students work on real-world projects and learn the skills necessary to succeed in data visualization, statistical modeling, data mining, optimization, and simulation in order to proficiently analyze large datasets and generate actionable insights. Classes include Statistical Computing, Data Mining, Data Management, and Probability Models.",https://business.uc.edu/academics/specialized-masters/business-analytics.html
Drexel University, LeBow College of Business, M.S. in Business Analytics,BA,2012,"3141 Chestnut St, Philadelphia, PA 19104",-75.18690278,39.95376285,PA,"The Master of Science in Business Analytics program at Drexel LeBow prepares students to influence decision-making using insights derived from data analysis. The program incorporates multifaceted areas of study such as statistics, data management and modeling. MS in Business Analytics students learn techniques such as machine learning, natural language processing and deep learning to develop a thorough understanding of analytics approaches and their impact on business strategies and decisions.",https://www.lebow.drexel.edu/academics/graduate/master-of-science/ms-business-analytics
Fordham University, School of Business, M.S. in Business Analytics,BA,2012,"441 E Fordham Rd, Bronx, NY 10458",-73.88989361,40.86093439,NY,"Fordham University’s Master of Science in Business Analytics prepares students for these exciting and lucrative career opportunities by integrating the fields of analytics techniques, data management, information technology, modeling, and statistical analysis to train students to become effective analysts and informed users of business data. ",https://www.fordham.edu/info/21535/business_analytics
Northwestern University, McCormick School of Engineering and Applied Science, M.S. in Analytics,A,2012,"633 Clark St, Evanston, IL 60208",-87.6798802,42.04997209,IL,"Northwestern’s Master of Science in Analytics (MSiA) program teaches students the skills that drive business success in today’s hypercompetitive, data-driven world and aims to produce well-rounded data scientists who possess the rigorous technical training and the business acumen to lead data science teams.",https://www.mccormick.northwestern.edu/analytics/
Rutgers," The State University of New Jersey, Discovery Informatics Institute", Master of Business and Science in Analytics,BA,2012,"Old Queens Building, New Brunswick, NJ 08901-1281",-74.446299,40.497912,NJ,"The Master of Business and Science (MBS) degree in Analytics prepares students for data-driven decision making. The curriculum integrates courses in analytics/data science with courses in business and management, through a professionally guided curriculum. MBS gives students multiple hands on course projects that give them the opportunity to partner with companies, nonprofits, and government agencies. Students are also given the opportunity to do semester long projects through the MBS Externship Exchange program, open to working students, online students, and full/part time students. MBS courses are offered to help working professionals get ahead, with our courses being offered in the evenings and hybrid/online. The MBS Analytics curriculum brings together the fields of computer science, statistics, machine learning, data mining and big data. Students will obtain a variety of skills including the ability to analyze large datasets, the ability to develop modeling solutions to support decision making, and a thorough understanding of how data analysis drives business decision making.",https://mbs.rutgers.edu/program/analytics-discovery-informatics-data-sciences
